Country_ISO,Year,ESG_G_Regulatory_Quality,ESG_G_Rule_of_Law,ESG_G_Political_Stability,ESG_G_Gov_Effectiveness
AUS,2010,1.6844562,1.5972921,1.0028093,1.7130228
AUS,2011,1.8396635,1.575215,0.9549761,1.7037267
AUS,2012,1.9300031,1.6348948,0.9876022,1.7045531
AUS,2013,1.8805423,1.6356769,0.9563371,1.6221252
AUS,2014,1.7469317,1.7323447,1.0196126,1.7947484
AUS,2015,1.7397648,1.7177851,0.8032474,1.6762148
AUS,2016,1.8140649,1.7288287,0.9540785,1.6248454
AUS,2017,1.8256736,1.6237004,0.7831479,1.6442984
AUS,2018,1.828177,1.6358922,0.8840942,1.7247815
AUS,2019,1.8466041,1.6342612,0.8454141,1.6666492
AUS,2020,1.7684279,1.5521387,0.8859397,1.6054566
AUS,2021,1.7860103,1.5701838,0.8536507,1.7024874
AUS,2022,1.8002733,1.471946,0.9015353,1.7675146
AUS,2023,1.8131125,1.5031839,0.9254365,1.7818134
AUS,2024,1.7223205,1.4704014,0.7932693,1.8090452
AUT,2010,1.6301795,1.7638238,1.2601717,1.7509901
AUT,2011,1.5512902,1.6684956,1.2207577,1.5645026
AUT,2012,1.5292054,1.7025891,1.3019271,1.5204181
AUT,2013,1.4173873,1.7373053,1.287147,1.5738779
AUT,2014,1.3187394,1.7758935,1.3377971,1.6929112
AUT,2015,1.2822536,1.7816313,1.1389655,1.6009157
AUT,2016,1.3915836,1.7942461,0.8951862,1.658232
AUT,2017,1.4202869,1.7738843,0.9266955,1.6138342
AUT,2018,1.530712,1.7989463,0.8440814,1.6043579
AUT,2019,1.5588698,1.8098146,0.7878108,1.7527565
AUT,2020,1.4737069,1.7481079,0.8186312,1.9079985
AUT,2021,1.4481822,1.7167011,0.7543747,1.8163061
AUT,2022,1.4011869,1.6419642,0.6005165,1.7373291
AUT,2023,1.4120974,1.6577235,0.7016405,1.5790569
AUT,2024,1.3510615,1.6777399,0.4915979,1.5145106
AZE,2010,-0.4634625,-0.7874494,-0.3145012,-0.8597442
AZE,2011,-0.4419223,-0.7606135,-0.6570897,-0.7958644
AZE,2012,-0.4893908,-0.7516124,-0.6838566,-0.8083243
AZE,2013,-0.3899695,-0.6655226,-0.483764,-0.6064243
AZE,2014,-0.2770165,-0.6478778,-0.433564,-0.4254637
AZE,2015,-0.2618171,-0.7053728,-0.4941808,-0.3537252
AZE,2016,-0.2166788,-0.6732404,-0.5043466,-0.1263081
AZE,2017,-0.18537,-0.7127751,-0.4556353,-0.1355348
AZE,2018,-0.2005079,-0.6533544,-0.3567438,-0.1558709
AZE,2019,-0.1045151,-0.6725504,-0.3373117,-0.0555998
AZE,2020,-0.1055885,-0.6182094,-0.5087721,-0.0570333
AZE,2021,-0.0594814,-0.6085852,-0.4888287,-0.0569923
AZE,2022,-0.0606321,-0.5484749,-0.5420481,-0.0543532
AZE,2023,0.0432245,-0.5160585,-0.4004143,0.0656316
AZE,2024,0.1348932,-0.4853711,-0.1404058,0.1661183
BHS,2010,0.6386137,0.8743035,0.9175646,0.9780496
BHS,2011,0.5800603,0.7880709,0.9777309,0.977426
BHS,2012,0.5761701,0.6533056,0.9992333,0.9775831
BHS,2013,0.4393561,0.6510804,0.9869744,0.9777585
BHS,2014,0.3567767,0.4786558,0.8227482,0.7471619
BHS,2015,0.1858547,0.4869107,0.7437356,0.7458537
BHS,2016,0.2183789,0.4454825,0.7974457,0.7463085
BHS,2017,0.0716726,0.3770041,0.8186672,0.7464561
BHS,2018,0.1415783,0.381433,0.7130765,0.7472668
BHS,2019,-0.0039804,0.376965,0.6927555,0.748057
BHS,2020,-0.0114289,0.3141962,0.7133519,0.5873396
BHS,2021,-0.020375,0.3484926,0.7434332,0.5886789
BHS,2022,-0.0671185,0.272063,0.8592816,0.7093344
BHS,2023,-0.0942178,0.2764352,1.0539708,0.7099538
BHS,2024,-0.1072579,0.2509955,1.0493095,0.7092986
BHR,2010,0.8816129,0.1010185,-0.7371495,0.3995029
BHR,2011,0.9001858,-0.0253953,-1.1775267,0.4333329
BHR,2012,0.8032498,-0.1376475,-1.0354447,0.3354941
BHR,2013,0.819964,-0.1232849,-1.2920542,0.3589139
BHR,2014,0.6266024,-0.1310885,-1.0441426,0.4256973
BHR,2015,0.7369814,0.0118928,-0.9584379,0.44791
BHR,2016,0.5338814,-0.0230253,-0.9098072,0.4226535
BHR,2017,0.4961675,-0.0275197,-1.0066263,0.4227562
BHR,2018,0.4964201,-0.0572437,-0.8677102,0.4181683
BHR,2019,0.5202512,0.0073826,-0.603362,0.4361988
BHR,2020,0.5553824,-0.1103766,-0.5964745,0.4205912
BHR,2021,0.7964885,0.0190676,-0.5041164,0.7183116
BHR,2022,0.8697953,0.0328686,-0.4825496,0.7297568
BHR,2023,0.9096095,0.1259217,-0.5007436,0.7325207
BHR,2024,0.9502434,0.1679373,-0.2758672,0.6002525
BGD,2010,-0.8368896,-0.8477644,-1.4437712,-0.8070768
BGD,2011,-0.8270946,-0.6998395,-1.4544464,-0.8372577
BGD,2012,-0.978782,-0.9887756,-1.4690337,-0.7988014
BGD,2013,-0.9494963,-0.9749211,-1.771799,-0.7739057
BGD,2014,-0.8964974,-0.8518575,-1.0510112,-0.6851605
BGD,2015,-0.7768095,-0.8569261,-1.331635,-0.6547007
BGD,2016,-0.7592301,-0.9068902,-1.3416192,-0.5337691
BGD,2017,-0.7430899,-0.924305,-1.3289506,-0.573203
BGD,2018,-0.7854912,-0.9096266,-1.0251718,-0.6193938
BGD,2019,-0.8895369,-0.9419472,-0.996755,-0.5970582
BGD,2020,-0.8942304,-0.8969166,-1.0151848,-0.7213698
BGD,2021,-0.8711765,-0.9749149,-1.0535518,-0.5638994
BGD,2022,-0.9240476,-0.9736413,-1.0954422,-0.62345
BGD,2023,-0.9009111,-0.9020256,-1.0359445,-0.5574534
BGD,2024,-0.9500708,-0.9600594,-1.4629509,-0.6189746
BRB,2010,0.6270269,1.1937698,1.1818697,1.2232303
BRB,2011,0.7575873,1.2130279,1.173978,1.2759677
BRB,2012,0.6839117,1.1685047,1.2347483,1.2905412
BRB,2013,0.6885383,1.1305025,1.216274,1.2093535
BRB,2014,0.364218,1.0585348,1.3382083,1.164952
BRB,2015,0.5798223,1.0869039,1.1290517,1.1636099
BRB,2016,0.539714,1.0487063,0.839715,0.9780647
BRB,2017,0.449052,0.9602192,0.8399905,0.9782162
BRB,2018,0.4221577,0.8225751,0.8002803,0.9790479
BRB,2019,0.3609854,0.7845979,0.9758945,0.7790151
BRB,2020,0.401461,0.7048546,1.0680614,0.6105647
BRB,2021,0.4761062,0.7010659,1.0845669,0.6625554
BRB,2022,0.4039531,0.7169373,1.2066625,0.7073038
BRB,2023,0.429255,0.7343145,1.2767666,0.6052291
BRB,2024,0.4405032,0.7277751,1.2722219,0.60457
BLR,2010,-1.1710193,-0.9569971,-0.0852672,-1.0551971
BLR,2011,-1.3322808,-0.9978533,-0.0818477,-1.0673804
BLR,2012,-1.0299101,-0.7380981,0.0036242,-1.0741204
BLR,2013,-1.0356233,-0.8222853,0.0177012,-1.0027888
BLR,2014,-0.8946824,-0.7472243,0.1349975,-0.4791856
BLR,2015,-1.0025727,-0.7316989,0.1165415,-0.3341197
BLR,2016,-0.9142651,-0.7123954,0.2027723,-0.3286362
BLR,2017,-0.8816836,-0.7599447,0.0265511,-0.201457
BLR,2018,-0.7883245,-0.7330642,0.2676565,-0.229958
BLR,2019,-0.5076275,-0.7942371,0.4258145,-0.2387162
BLR,2020,-0.6830906,-0.8602112,-0.8182985,-0.6167824
BLR,2021,-0.7942597,-1.0672559,-0.6163724,-0.6825409
BLR,2022,-1.0760793,-1.1591441,-0.6168791,-0.5969261
BLR,2023,-1.175204,-1.2155307,-0.3926065,-0.5964061
BLR,2024,-1.232269,-1.2305997,-0.3773003,-0.7015463
BEL,2010,1.1312828,1.2316759,0.9164492,1.659156
BEL,2011,1.0640569,1.2689293,0.9302398,1.7960063
BEL,2012,1.1007296,1.313828,0.9449853,1.8013661
BEL,2013,1.1209955,1.3339446,0.9488863,1.8156516
BEL,2014,0.9346005,1.3600975,0.786586,1.5482903
BEL,2015,1.1764063,1.4251797,0.6581707,1.5255063
BEL,2016,1.3239138,1.4372251,0.4864269,1.3520474
BEL,2017,1.2707575,1.377531,0.3647602,1.1503596
BEL,2018,1.2683788,1.4207604,0.4247021,1.2308189
BEL,2019,1.2890183,1.4493311,0.3774033,1.1205719
BEL,2020,1.3238216,1.4533249,0.3686413,1.1695968
BEL,2021,1.3954035,1.4052126,0.461917,1.2282716
BEL,2022,1.4079657,1.3398087,0.2465264,1.3103839
BEL,2023,1.2914096,1.2719977,0.1994126,1.1646047
BEL,2024,1.2435483,1.282799,0.1214526,1.1947395
BLZ,2010,-0.1986764,-0.0901011,0.0218801,-0.2767142
BLZ,2011,-0.2862027,-0.3074699,0.0910169,-0.2683306
BLZ,2012,-0.3279258,-0.3308745,0.0905854,-0.268194
BLZ,2013,-0.3284498,-0.3329908,0.0892671,-0.2680415
BLZ,2014,-0.5535223,-0.638328,0.032488,-0.4369717
BLZ,2015,-0.5037448,-0.6138025,0.0315234,-0.3941298
BLZ,2016,-0.4649404,-0.5830992,0.02715,-0.41265
BLZ,2017,-0.5395473,-0.5418511,0.0274572,-0.4124914
BLZ,2018,-0.6630635,-0.5907692,0.0296183,-0.3950567
BLZ,2019,-0.5749241,-0.5612969,0.1334022,-0.3772395
BLZ,2020,-0.5762528,-0.5207908,0.6026689,-0.3797712
BLZ,2021,-0.6067267,-0.5276551,0.3568757,-0.3782688
BLZ,2022,-0.617476,-0.4371369,0.7353533,-0.1413049
BLZ,2023,-0.4930127,-0.4007135,0.78967,-0.0642292
BLZ,2024,-0.450078,-0.39715,0.7847219,-0.129095
BEN,2010,-0.4195411,-0.3935015,0.3130091,-0.4821387
BEN,2011,-0.4622483,-0.4510183,0.3444706,-0.4467532
BEN,2012,-0.5416802,-0.4275104,0.3524209,-0.5014158
BEN,2013,-0.5705637,-0.4894608,0.3313874,-0.5198363
BEN,2014,-0.5574079,-0.4784921,0.1371161,-0.4471044
BEN,2015,-0.538425,-0.4157073,0.117506,-0.5410404
